"option_id","question_id","option_letter","option_text","score","is_image","image_url"
"42","11","b","Setiap 5 tahun","0","0",NULL
"43","11","c","Setiap 2 1/2 tahun.","0","0",NULL
"44","11","d","Setiap tahun","0","0",NULL
"45","12","a","Miliki pompa pembuangan terpisah dengan kapasitas yang memadai.","0","0",NULL
"46","12","b","Siapkan pembilasan dengan air bersih dan biarkan terkuras seluruhnya.","0","0",NULL
"47","12","c","Lindungi penghuni melalui kebakaran minyak terus-menerus selama jangka waktu tidak kurang dari 8 menit.","0","0",NULL
"48","12","d","Memiliki sarana untuk “menghidupkan/mematikan” aliran air di bagian luar sekoci penyelamat.","0","0",NULL
"49","13","a","Tekanan uji sama dengan 1,75 kali tekanan kerja maksimum yang diizinkan.","0","0",NULL
"50","13","b","Tekanan uji sama dengan 1,25 kali tekanan kerja maksimum yang diizinkan","0","0",NULL
"51","13","c","Tekanan uji sama dengan 1,5 kali tekanan kerja maksimum yang diizinkan","0","0",NULL
"52","13","d","Tekanan uji sama dengan tekanan kerja maksimum yang diizinkan.","0","0",NULL
"53","14","a","L(S) = 18 H.","0","0",NULL
"54","14","b","L(S) = 4 H.","0","0",NULL
"55","14","c","L(S) = 2 H.","0","0",NULL
"56","14","d","L(S) = 1,5 H.","0","0",NULL
"57","15","a","Metanol","0","0",NULL
"58","15","b","Etanol Industri","0","0",NULL
"59","15","c","Iso-propanol","0","0",NULL
"60","15","d","Air","0","0",NULL
"61","16","a","Sekarang mereka harus diangkut dengan kapal tanker berlambung ganda.","0","0",NULL
"62","16","b","Mereka sekarang harus dibawa dalam tank tipe 2","0","0",NULL
"63","16","c","Tidak ada perubahan.","0","0",NULL
"64","16","d","Saya tidak tahu","0","0",NULL
"65","17","a","Timbal Panama ditunjukkan dengan A, pada gambar","0","0",NULL
"66","17","b","Timbal Panama ditunjukkan dengan B, pada gambar","0","0",NULL
"67","17","c","Timbal Panama ditunjukkan dengan C, pada gambar","0","0",NULL
"68","17","d","Timbal Panama ditunjukkan dengan huruf D pada gambar.","0","0",NULL
"69","18","a","Pencucian bawah dimulai saat masih ada sedikit muatan di dalam tangki","0","0",NULL
"70","18","b","Pencucian bagian atas kering dan pencucian bagian bawah basah","0","0",NULL
"71","18","c","Minyaknya terlalu “basah” untuk digunakan dalam pencucian minyak mentah.","0","0",NULL
"72","18","d","Mulailah mencuci minyak mentah basah di dasar yang kering.","0","0",NULL
"73","19","a","Di luar wilayah laut A1, A2 dan A3.","0","0",NULL
"74","19","b","Kecuali wilayah laut A1, A2 dan A3, dalam jangkauan satelit Inmarsat, di mana alarm terus menerus tersedia","0","0",NULL
"75","19","c","Hingga 12 mil daratan","0","0",NULL
"76","19","d","Dalam jangkauan radiotelefoni VHF dari stasiun pantai, di mana alarm DSC terus-menerus tersedia.","0","0",NULL
"77","20","a","0,5-1 watt","0","0",NULL
"78","20","b","5-10 watt.","0","0",NULL
"79","20","c","6-25 watt","0","0",NULL
"80","20","d","Tidak tahu.","0","0",NULL
"81","21","a","Mengganggu","0","0",NULL
"82","21","b","Tidak untuk mengganggu","0","0",NULL
"83","21","c","Berbicara dengan dua stasiun secara bersamaan.","0","0",NULL
"84","21","d","Interupsi setelah melepaskan sakelar PTT","0","0",NULL
"85","22","a","SARSAT-COSPAS EPIRBS","0","0",NULL
"86","22","b","INMARSAT DAN EPIRBS","0","0",NULL
"87","22","c","Transponder SART","0","0",NULL
"88","22","d","Panggilan DSS VHF.","0","0",NULL
"89","23","a","Setiap 4 tahun.","0","0",NULL
"90","23","b","Setiap 3 tahun","0","0",NULL
"91","23","c","Setiap 2 tahun.","0","0",NULL
"92","23","d","Tahunan","0","0",NULL
"93","24","a","Satu di setiap sudut, total 4","0","0",NULL
"94","24","b","Satu di setiap ujung, total 2.","0","0",NULL
"95","24","c","Satu di setiap ujung, total 2","0","0",NULL
"96","24","d","Total ada tiga, 2 di ujung pintu, 1 di ujung seberangnya","0","0",NULL
"97","25","a","Ini adalah metode standar dan selalu dilakukan dengan cara itu demi kesederhanaan","0","0",NULL
"98","25","b","Udara segar membantu menyesuaikan muatan dengan kondisi lingkungan sekitar.","0","0",NULL
"99","25","c","Beberapa kargo sangat sensitif terhadap tingkat etilen dan mungkin sulit untuk mengukur secara akurat tingkat rendah yang akan mempengaruhi kargo.","0","0",NULL
"100","25","d","Udara segar sebanyak mungkin harus selalu dimasukkan ke dalam ruang kargo selama pelayaran untuk menjaga kualitas kargo","0","0",NULL
"101","26","a","Kompresor piston bebas oli","0","0",NULL
"102","26","b","Kompresor piston tiga tahap","0","0",NULL
"103","26","c","Kompresor tipe piston, sekrup dan sentrifugal.","0","0",NULL
"104","26","d","Kompresor sekrup tiga tahap.","0","0",NULL
"105","27","a","Rencana perjalanan selalu diperlukan, terlepas dari lamanya pelayaran, atau jika kapal sedang dalam pengawasan pilot.","0","0",NULL
"106","27","b","Rencana perjalanan hanya diperlukan apabila tidak ada pilot di dalam pesawat.","0","0",NULL
"107","27","c","Rencana perjalanan diperlukan sejak keberangkatan dari pelabuhan hingga kedatangan di stasiun percontohan di tujuan.","0","0",NULL
"108","27","d","Rencana lintasan diperlukan untuk semua lintasan laut dalam, tetapi tidak untuk melintasi terusan dengan pemanduan.","0","0",NULL
"109","28","a","HSE hanya berwenang jika terdapat batas antara kapal dan pantai, misalnya melalui peraturan akses. Dalam kasus serius, mereka akan menghubungi Petugas Kelautan setempat.","0","0",NULL
"110","28","b","Mereka dapat meminta agar tes alkohol/narkoba dilakukan setelah insiden yang melibatkan kapal atau pelayaran.","0","0",NULL
"111","28","c","Mereka memiliki kekuasaan yang sama persis dengan seorang Perwira Marinir.","0","0",NULL
"112","28","d","Mereka tidak memiliki tanggung jawab hukum atas kapal atau pengiriman","0","0",NULL
"113","29","a","Tidak ada tindakan khusus yang perlu diambil","0","0",NULL
"114","29","b","Untuk menghindari pembusukan yang tidak terkendali, muatan harus dibuang ke laut.","0","0",NULL
"115","29","c","Kargo harus dipanaskan hingga 45 °C","0","0",NULL
"116","29","d","Kargo harus diawasi secara ketat selama 12 jam ke depan.","0","0",NULL
"117","30","a","Kapal dengan haluan bulat, kapal LPG dan LNG harus menyediakan proyektor sendiri.","0","0",NULL
"118","30","b","Semua kapal harus menyediakan proyektornya sendiri.","0","0",NULL
"119","30","c","Hanya proyektor yang disewa dari Canal Mooring and Light Company yang diizinkan.","0","0",NULL
"120","30","d","Jika kapal memiliki proyektor sendiri, biaya tambahan akan dikenakan pada kapal.","0","0",NULL
"121","31","a","Jejak infestasi serangga di lambung kapal","0","0",NULL
"122","31","b","Bintik-bintik karat yang mengeras pada pelapisan cangkang","0","0",NULL
"123","31","c","Bintik-bintik karat yang mengeras pada bangku sekat bawah dan pelat tangki hopper","0","0",NULL
"124","31","d","Pelapisan bagian atas tangki yang terkena noda karat","0","0",NULL
"125","32","a","Dioda.","0","0",NULL
"126","32","b","Transistor.","0","0",NULL
"127","32","c","Penyearah yang dikontrol silikon.","0","0",NULL
"128","32","d","Dioda terowongan.","0","0",NULL
"129","33","a","Ya, jika pelaut itu sedang bekerja.","0","0",NULL
"130","33","b","Ya, karena akibatnya fatal.","0","0",NULL
"131","33","c","TIDAK","0","0",NULL
"132","33","d","Ya, meskipun dia tidak meninggal","0","0",NULL
"133","34","a","Pengaturan harus dibuat untuk pengujian atmosfer untuk memastikan pemeliharaan kadar oksigen 21% dan kandungan karbon monoksida di bawah 50 ppm di atmosfer ruang.","0","0",NULL
"134","34","b","Menyediakan masker filter untuk semua kru yang bekerja di dek ro-ro","0","0",NULL
"135","34","c","Dek Ro-Ro selalu diberi ventilasi sebelum operasi.","0","0",NULL
"136","34","d","Buka kedua pintu haluan dan buritan.","0","0",NULL
"137","35","a","Bahwa ada kapal lain di dekatnya, yang sedang melaju, tetapi berhenti dan tidak bisa melewati air.","0","0",NULL
"138","35","b","Bahwa ada kapal lain di dekatnya, tetapi sedang berlabuh.","0","0",NULL
"139","35","c","Bahwa ada dua kapal lagi di dekatnya.","0","0",NULL
"140","35","d","Bahwa ada kapal lain di sekitar dan dia baru saja mengubah haluan ke pelabuhan.","0","0",NULL
"141","36","a","Tutup lubang ventilasi perahu penyelamat.","0","0",NULL
"142","36","b","Buka palka.","0","0",NULL
"143","36","c","Perangkat penutup kanopi rakit penolong yang aman.","0","0",NULL
"144","36","d","Palka aman","0","0",NULL
"145","37","a","Ketika baji berkarat.","0","0",NULL
"146","37","b","Ketika pegas datar hilang.","0","0",NULL
"147","37","c","Ketika pegas datar ditekuk","0","0",NULL
"148","37","d","Ketika pegas datar berkarat.","0","0",NULL
"149","38","a","SOLAS 74/88.","0","0",NULL
"150","38","b","Saran dari perencana pantai.","0","0",NULL
"151","38","c","Manual pengamanan kargo","0","0",NULL
"152","38","d","Peraturan OSHA.","0","0",NULL
"153","39","a","Untuk menghindari area yang mudah meledak (mudah terbakar) di tangki kargo","0","0",NULL
"154","39","b","Untuk menghindari kelembaban di tangki kargo","0","0",NULL
"155","39","c","Untuk memastikan semua oksigen dikeluarkan dari tangki kargo dan menghindari reaksi kimia","0","0",NULL
"156","39","d","Untuk menghindari radikal yang menumpuk di tangki kargo.","0","0",NULL
"157","40","a","Harus selalu ada satu orang di kantor kapal, yang mengoperasikan katup manifold untuk menghindari kenaikan tekanan yang terlalu besar di dalam tangki.","0","0",NULL
"158","40","b","Biarkan saja semua katup terbuka dan biarkan pantai mengendalikan tiupannya.","0","0",NULL
"159","40","c","Harus selalu ada satu orang di manifold kapal, yang mengoperasikan katup manifold untuk menghindari kenaikan tekanan yang terlalu besar di dalam tangki.","0","0",NULL
"160","40","d","Harus selalu ada satu orang di anjungan kapal, yang mengoperasikan kemudi untuk menghindari peningkatan tekanan yang terlalu besar di dalam tangki","0","0",NULL
"161","41","a","Untuk menentukan apakah kapal layak laut.","0","0",NULL
"162","41","b","Untuk menerbitkan sertifikat kelaikan laut.","0","0",NULL
"163","41","c","Untuk mengeluarkan izin perdagangan.","0","0",NULL
"164","41","d","Terutama untuk menentukan apakah peraturan awak kapal telah dipatuhi","0","0",NULL
"165","42","a","Aspek pertama mengonfirmasi kematian. Beri tahu perusahaan dan keluarga terdekat, dan jika ada di kapal, beri tahu dan beri penghiburan sesuai kebutuhan. Atur agar jenazah dipindahkan ke ruang pendingin. Beri tahu agen lokal dan Konsul Inggris jika berada di luar negeri. Catat dalam Catatan Kelahiran dan Kematian.","0","0",NULL
"166","42","b","Konfirmasikan kematian. Pindahkan jenazah ke kompartemen freezer. Hubungi agen setempat dan Konsul Inggris jika diperlukan. Lengkapi bagian naratif buku catatan resmi. Buat entri di buku catatan dek yang merinci tindakan yang diambil.","0","0",NULL
"167","42","c","Konfirmasikan kematian. Hubungi agen setempat dan atur evakuasi jenazah dari kapal. Beri tahu perusahaan. Lengkapi bagian kelahiran dan kematian di buku catatan resmi.","0","0",NULL
"168","42","d","Konfirmasikan kematian. Beri tahu keluarga terdekat, dan jika sudah di pesawat, beri penghiburan seperlunya. Catat di bagian Kelahiran dan Kematian di OLB, dan catat di bagian narasi OLB. Beri tahu agen dan Konsul Inggris jika di luar negeri. Miliki tempat tinggal.","0","0",NULL
"169","43","a","Kuning","0","0",NULL
"170","43","b","Oranye","0","0",NULL
"171","43","c","Biru","0","0",NULL
"172","43","d","Merah","0","0",NULL
"173","44","a","Zat cair berbahaya dari kategori apa pun dengan titik tuang lebih dari 37,8 derajat Celcius","0","0",NULL
"174","44","b","Zat cair berbahaya dalam kategori “X” atau “Y” dengan viskositas sama dengan atau lebih besar dari 50 mPas pada suhu pembongkaran","0","0",NULL
"175","44","c","Setiap zat cair berbahaya yang residunya tidak dapat dikeluarkan dari kompartemen kargo dan sistem perpipaan dan pemompaan terkait hingga sama dengan atau kurang dari 75 liter","0","0",NULL
"176","44","d","Zat cair berbahaya dalam kategori “Y” dengan viskositas sama dengan atau lebih besar dari 100 mPas pada suhu 37,8 derajat Celcius.","0","0",NULL
"177","45","a","Persentase lilin parafin berdasarkan volume, berdasarkan sampel representatif minyak mentah","0","0",NULL
"178","45","b","Jumlah aditif dalam produk minyak, dinyatakan dalam ppm, yang dirancang untuk menghambat pemadatan pada suhu yang lebih rendah","0","0",NULL
"179","45","c","Persentase volume endapan lilin yang diamati ditemukan di tangki kargo setelah pembongkaran dalam kaitannya dengan total volume","0","0",NULL
"180","45","d","kargo yang diangkut sebelumnya.","0","0",NULL
"181","46","a","Jenis kapal.","0","0",NULL
"182","46","b","Tonase mereka","0","0",NULL
"183","46","c","Wilayah laut.","0","0",NULL
"184","46","d","Tidak tahu.","0","0",NULL
"185","47","a","Proses di mana senyawa kimia tak jenuh dipanaskan di bawah tekanan, menyebabkan molekul-molekulnya bereaksi satu sama lain dan membentuk molekul yang lebih besar.","0","0",NULL
"186","47","b","Proses dimana molekul-molekul dalam senyawa kimia tak jenuh bereaksi satu sama lain selama pendinginan, membentuk molekul yang lebih besar","0","0",NULL
"187","47","c","Proses di mana senyawa kimia jenuh dipanaskan di bawah tekanan, menyebabkan molekul-molekulnya bereaksi satu sama lain dan membentuk molekul yang lebih kecil.","0","0",NULL
"188","47","d","Proses dimana senyawa kimia jenuh bereaksi ketika tekanan dilepaskan selama","0","0",NULL
"189","48","a","-6 °C.","0","0",NULL
"190","48","b","0 derajat celcius","0","0",NULL
"191","48","c","+6 derajat celcius","0","0",NULL
"192","48","d","+10 derajat celcius","0","0",NULL
"193","49","a","Langsung masuk seperti biasa","0","0",NULL
"194","49","b","Beritahu Chief Officer atau petugas yang berjaga dan menyalakan ventilasi untuk setidaknya 15 menit","0","0",NULL
"195","49","c","Memberitahu seluruh crew kapal 15 menit sebelumnya","0","0",NULL
"196","49","d","Membuat working permit dan memberi tanda bahwa ada orang di dalam ruang pompa","0","0",NULL
"197","50","a","Letaknya di ujung pipa dalam tangki dan membatasi partikel dan padatan apa pun yang masuk ke sistem pipa.","0","0",NULL
"198","50","b","Ini adalah kotak pengumpulan sampah di gudang","0","0",NULL
"199","50","c","Ini adalah kotak di dekat windlass untuk menyimpan lumpur dari jangkar dan kabel jangkar","0","0",NULL
"200","50","d","Ini adalah kotak di bawah manifold untuk menangkap tumpahan saat menghubungkan selang pembuangan atau pemuatan","0","0",NULL
"998","251","a","Ini adalah kapal yang melakukan pengerukan atau operasi bawah air. Dua bola dalam garis vertikal menunjukkan sisi aman untuk dilewati; dua belah ketupat dalam garis vertikal menunjukkan sisi yang memiliki halangan; bola/belah ketupat/bola menunjukkan kapal dibatasi dalam kemampuannya untuk bermanuver.","0","0",NULL
"999","251","b","Ini adalah kapal yang bertugas keamanan pelabuhan. Dua bola dalam garis vertikal menunjukkan pelabuhan ditutup; dua belah ketupat dalam garis vertikal menunjukkan pelabuhan sedang melakukan operasi pembersihan ranjau; bola/belah ketupat/bola menunjukkan kapal tersebut dibatasi dalam kemampuannya untuk bermanuver.","0","0",NULL
"1000","251","c","Ini adalah kapal yang melakukan pengerukan atau operasi bawah air. Dua bola dalam garis vertikal menunjukkan sisi di mana terdapat halangan; dua belah ketupat dalam garis vertikal menunjukkan sisi yang aman untuk dilewati; kombinasi bola/belah ketupat/bola secara vertikal menunjukkan bahwa kapal tersebut dibatasi dalam kemampuannya untuk bermanuver.","0","0",NULL
"1001","251","d","Ini adalah kapal yang melakukan operasi pembersihan ranjau. Dua bola dalam garis vertikal menunjukkan alat penyapu aktif; dua belah ketupat dalam garis vertikal menunjukkan bahwa kapal harus diberi jarak minimal 1.000 meter; bola/belah ketupat/bola menunjukkan kapal tersebut dibatasi dalam kemampuannya untuk bermanuver.","0","0",NULL
"1002","252","a","Pemeriksa palet (Pallet scanner)","0","0",NULL
"1003","252","b","Detektor uap (Vapour detector)","0","0",NULL
"1004","252","c","Sistem kontrol akses","0","0",NULL
"1005","252","d","Kontainer keamanan","0","0",NULL
"1006","253","a","Kibarkan dua bola hitam.","0","0",NULL
"1007","253","b","Bunyi Alarm Umum.","0","0",NULL
"1008","253","c","Mundur penuh (ring full astern).","0","0",NULL
"1009","253","d","Matikan mesin.","0","0",NULL
"1010","254","a","Karena interaksi, haluan kapal akan saling tarik saat mendekat, lalu akan saling tolak saat sejajar dan buritan akan saling tarik saat kapal menjauh.","0","0",NULL
"1011","254","b","Saat mendekat, kemudi harus segera digerakkan untuk menghindari membelok ke jalur kapal lain. Kemudian saat sejajar buritan akan saling tarik dan akhirnya saling tolak saat menjauh.","0","0",NULL
"1012","254","c","Karena interaksi, haluan kapal akan saling tolak, lalu saat sejajar kedua kapal akan tersedot saling mendekat, dan akhirnya buritan akan saling tolak saat mulai menjauh.","0","0",NULL
"1013","254","d","Akan sangat sedikit pengaruh antara kedua kapal saat mereka saling melewati.","0","0",NULL
"1014","255","a","Hanya staf darat perusahaan","0","0",NULL
"1015","255","b","Hanya perwira senior","0","0",NULL
"1016","255","c","Hanya nakhoda","0","0",NULL
"1017","255","d","Semua anggota awak kapal","0","0",NULL
"1018","256","a","42","0","0",NULL
"1019","256","b","26","0","0",NULL
"1020","256","c","32","0","0",NULL
"1021","256","d","39","0","0",NULL
"1022","257","a","1 tahun.","0","0",NULL
"1023","257","b","2 tahun.","0","0",NULL
"1024","257","c","6 bulan.","0","0",NULL
"1025","257","d","5 tahun","0","0",NULL
"1026","258","a","Menampilkan sinyal NUC (Not Under Command) dan mempertimbangkan untuk menghentikan mesin.","0","0",NULL
"1027","258","b","Menghubungi Nakhoda dan memberitahukan situasi.","0","0",NULL
"1028","258","c","Semua jawaban yang disebutkan.","0","0",NULL
"1029","258","d","Meminta ruang mesin untuk memeriksa alat kemudi","0","0",NULL
"1030","259","a","244123000.","0","0",NULL
"1031","259","b","002453290.","0","0",NULL
"1032","259","c","245329000.","0","0",NULL
"1033","259","d","Tidak ada yang disebutkan.","0","0",NULL
"1034","260","a","Under Keel Clearance ditunjukkan oleh huruf A dalam gambar.","0","0",NULL
"1035","260","b","Under Keel Clearance ditunjukkan oleh huruf B dalam gambar.","0","0",NULL
"1036","260","c","Under Keel Clearance ditunjukkan oleh huruf D dalam gambar.","0","0",NULL
"1037","260","d","Under Keel Clearance ditunjukkan oleh huruf C dalam gambar.","0","0",NULL
"1038","261","a","On official watch.","0","0",NULL
"1039","261","b","Officer of the Watch.","0","0",NULL
"1040","261","c","Operator of the watch.","0","0",NULL
"1041","261","d","On official watchkeeping","0","0",NULL
"1042","262","a","6 ledakan panjang berulang kali.","0","0",NULL
"1043","262","b","3 ledakan panjang berulang kali.","0","0",NULL
"1044","262","c","5 ledakan panjang berulang kali.","0","0",NULL
"1045","262","d","4 ledakan panjang berulang kali.","0","0",NULL
"1046","263","a","Sekat tabrakan dan geladak.","0","0",NULL
"1047","263","b","Sekat tengah.","0","0",NULL
"1048","263","c","Tangki dan lantai bagian bawah ganda.","0","0",NULL
"1049","263","d","Balok dan stringer anti-panting.","0","0",NULL
"1050","264","a","Letakkan benda tersebut di dalam laci atau lemari arsip.","0","0",NULL
"1051","264","b","Konfirmasi dengan rekan pencari bahwa objek tersebut mencurigakan.","0","0",NULL
"1052","264","c","Buang benda tersebut ke laut.","0","0",NULL
"1053","264","d","Tutupi benda mencurigakan tersebut dengan kotak atau selimut.","0","0",NULL
"1054","265","a","Berdasarkan biaya minimum enam detik dengan kenaikan per detik.","0","0",NULL
"1055","265","b","Berdasarkan biaya minimum enam detik dengan kenaikan enam detik.","0","0",NULL
"1056","265","c","Berdasarkan biaya minimum tiga menit dengan kenaikan per menit.","0","0",NULL
"1057","265","d","Berdasarkan biaya minimum satu menit dengan kenaikan per menit.","0","0",NULL
"1058","266","a","Pesan ini berarti kapal pesiar sedang kemasukan air.","0","0",NULL
"1059","266","b","Pesan ini berarti kapal pesiar sedang mengalami gelombang besar dan mungkin butuh bantuan.","0","0",NULL
"1060","266","c","Pesan ini berarti kapal pesiar telah terbalik di laut ganas.","0","0",NULL
"1061","266","d","Pesan ini berarti kapal pesiar kehilangan kaptennya di laut ganas.","0","0",NULL
"1062","267","a","Ya, aman jika tali tas dibungkuskan pada tangga.","0","0",NULL
"1063","267","b","Ya, aman jika kapal tidak terlalu bergoyang.","0","0",NULL
"1064","267","c","Tidak aman kedua tangan seharusnya selalu digunakan untuk memanjat tangga.","0","0",NULL
"1065","267","d","Ya, aman asalkan tetap mempertahankan tiga titik kontak.","0","0",NULL
"1066","268","a","Emergency General Ship Call.","0","0",NULL
"1067","268","b","Enhanced Group Call.","0","0",NULL
"1068","268","c","Exchange Geographic Call.","0","0",NULL
"1069","268","d","Exchange Group Call.","0","0",NULL
"1070","269","a","Nahkoda (Captain).","0","0",NULL
"1071","269","b","Kepala Kamar Mesin (Chief Engineer).","0","0",NULL
"1072","269","c","Teknisi kapal yang bertugas.","0","0",NULL
"1073","269","d","Orang pertama yang tiba di lokasi.","0","0",NULL
"1074","270","a","Undang-undang Keselamatan dan Kesehatan Kerja.","0","0",NULL
"1075","270","b","Berkonsultasi dengan petugas kepala sebelum mulai bekerja.","0","0",NULL
"1076","270","c","Menggunakan praktik yang sama yang telah berlaku selama beberapa waktu.","0","0",NULL
"1077","270","d","Memanfaatkan Penilaian Risiko (Risk Assessment) sebagai sarana peningkatan keselamatan.","0","0",NULL
"1078","271","a","Di posisi dekat buritan kapal.","0","0",NULL
"1079","271","b","Sekitar 1/3 panjang kapal dari buritan (stern).","0","0",NULL
"1080","271","c","Di tengah-tengah kapal (amidships).","0","0",NULL
"1081","271","d","Sekitar 1/3 panjang kapal dari haluan (bow).","0","0",NULL
"1082","272","a","Kerusakan pada kontainer.","0","0",NULL
"1083","272","b","Kerusakan fisik pada muatan.","0","0",NULL
"1084","272","c","Muatan ternoda oleh karat, oli hidrolik, atau gemuk.","0","0",NULL
"1085","272","d","Muatan tidak dimuat hingga penuh sesuai tinggi kontainer.","0","0",NULL
"1086","273","a","Ketika dua kali periode pertemuan gelombang mendekati periode menggelinding alami kapal.","0","0",NULL
"1087","273","b","Ketika tinggi gelombang dari haluan melebihi 6 meter.","0","0",NULL
"1088","273","c","Ketika periode pertemuan gelombang mendekati periode menggelinding alami kapal.","0","0",NULL
"1089","273","d","Ketika tinggi gelombang dari kuarter kiri atau kanan melebihi 6 meter.","0","0",NULL
"1090","274","a","Perintah nakhoda bersifat sesuai situasi (berubah), dengan perintah nakhoda bersifat tetap","0","0",NULL
"1091","274","b","Perintah nakhoda yang sifat sesuai situasi (berubah), dengan perintah nakhoda yang wajib dilaksanakan","0","0",NULL
"1092","274","c","Perintah nakhoda yang bersifat tetap, dengan perintah nakhoda yang wajib dilaksanakan","0","0",NULL
"1093","274","d","Perintah nakhoda bersifat sementara, dengan perintah nakhoda yang tidak tetap","0","0",NULL
"1094","275","a","Perintah nakhoda kepada petugas dinas jaga anjungan setiap malamnya","0","0",NULL
"1095","275","b","Perintah nakhoda kepada petugas dinas jaga anjungan setiap saat","0","0",NULL
"1096","275","c","Perintah nakhoda kepada petugas dinas jaga anjungan selama dalam pelayaran","0","0",NULL
"1097","275","d","Perintah nakhoda kepada petugas dinas jaga anjungan nakhoda tersebut diatas kapal","0","0",NULL
"1098","276","a","Bahan peledak lain di sekitarnya.","0","0",NULL
"1099","276","b","Zat korosif.","0","0",NULL
"1100","276","c","Sambaran petir.","0","0",NULL
"1101","276","d","Gas beracun","0","0",NULL
"1102","277","a","Menggambar garis singgung dari titik tertinggi kurva ke sumbu X dan mengukurnya dalam meter.","0","0",NULL
"1103","277","b","Nilai dalam meter dari sumbu X pada titik di mana kurva berubah dari cekung menjadi cembung.","0","0",NULL
"1104","277","c","Dengan menggambar garis singgung pada kurva yang melewati titik asal dan membuat garis tegak lurus melalui sudut kemiringan 57,3 derajat.","0","0",NULL
"1105","277","d","Tidak mungkin menentukan nilai GM dari kurva tuas pemulih (righting levers).","0","0",NULL
"1106","278","a","Dengan menggambar garis singgung pada kurva yang melewati titik asal dan membuat garis tegak lurus melalui sudut kemiringan 57,3 derajat.","0","0",NULL
"1107","278","b","Dengan menggambar garis singgung dari titik tertinggi kurva ke sumbu X dan mengukurnya dalam satuan meter.","0","0",NULL
"1108","278","c","Nilai dalam meter dari titik X di mana kurva berubah dari bentuk cekung ke cembung.","0","0",NULL
"1109","278","d","Tidak mungkin menentukan nilai GM dari kurva momen pemulih (righting levers).","0","0",NULL
"1110","279","a","Dikeluarkan dari layanan.","0","0",NULL
"1111","279","b","Diperbaiki di kapal dan digunakan kembali.","0","0",NULL
"1112","279","c","Hanya digunakan pada lapisan terbawah di geladak.","0","0",NULL
"1113","279","d","Hanya digunakan untuk penyimpanan kontainer bawah deck.","0","0",NULL
"1114","280","a","Hanya pada bagian sekat yang padat dan berkesinambungan.","0","0",NULL
"1115","280","b","Hingga 5 meter di bawah permukaan geladak.","0","0",NULL
"1116","280","c","Hingga 5 meter di atas permukaan geladak.","0","0",NULL
"1117","280","d","Pada bukaan dan penetrasi.","0","0",NULL
"1118","281","a","Peningkatan sudut olengan secara bertahap di laut hadap (head sea).","0","0",NULL
"1119","281","b","Terjadinya sudut kemiringan besar yang tidak terduga akibat laut samping.","0","0",NULL
"1120","281","c","Terjadinya secara tiba-tiba sudut olengan besar di laut samping (beam seas).","0","0",NULL
