"question_id","role","question_text","category","is_image","image_url","assessment_id","aspect_id"
"257","nahkoda","Berapa lama masa berlaku dari Sertifikat Manajemen Keselamatan (Safety Management Certificate)?",NULL,NULL,NULL,"11",NULL
"258","nahkoda","Apa tindakan yang harus diambil oleh Perwira Jaga (Officer of the Watch) ketika alat kemudi kapal mengalami kegagalan?",NULL,NULL,NULL,"11",NULL
"259","nahkoda","Pesan berikut diterima di pengendali DSC di kapal: DOO: 245329000 CH16; S distress ack 244123000. Stasiun mana yang mengirim tanda terima tanda bahaya tersebut?",NULL,NULL,NULL,"11",NULL
"260","nahkoda","Apa yang dimaksud dengan “UNDER KEEL CLEARANCE” dalam gambar berikut?",NULL,NULL,NULL,"11",NULL
"261","nahkoda","Perwira yang bertugas di anjungan kapal sering disebut sebagai OOW. Apa arti sebenarnya dari OOW?",NULL,NULL,NULL,"11",NULL
"262","nahkoda","Sinyal suara apa yang harus digunakan pada peluit kapal ketika ada orang jatuh ke laut?",NULL,NULL,NULL,"11",NULL
"263","nahkoda","Sebuah kapal yang bergerak melalui laut yang ganas dipengaruhi oleh tekanan air di haluan yang menyebabkan efek yang dikenal sebagai “Panting”. Struktur apa di bagian depan kapal yang mengatasi efek Panting ini?",NULL,NULL,NULL,"11",NULL
"264","nahkoda","Tindakan mana yang harus dilakukan awak kapal jika ditemukan benda mencurigakan yang kemungkinan merupakan bom saat pencarian?",NULL,NULL,NULL,"11",NULL
"265","nahkoda","Panggilan R/T yang tersambung melalui operator dikenakan biaya:",NULL,NULL,NULL,"11",NULL
"266","nahkoda","Apa arti dari pesan: “A yacht has capsized in heavy seas”?",NULL,NULL,NULL,"11",NULL
"267","nahkoda","Apakah aman membawa tas peralatan di tangan Anda saat menaiki tangga vertikal? Pilih opsi terbaik:",NULL,NULL,NULL,"11",NULL
"268","nahkoda","EGC adalah singkatan dari:",NULL,NULL,NULL,"11",NULL
"269","nahkoda","Ketika terjadi kebakaran di ruang mesin, siapa yang bertanggung jawab atas operasi pemadaman kebakaran?",NULL,NULL,NULL,"11",NULL
"270","nahkoda","Apa tema utama dari praktik keselamatan modern?",NULL,NULL,NULL,"11",NULL
"271","nahkoda","Di mana posisi teoritis titik poros hidrodinamis (hydrodynamic pivot point) pada kapal yang bergerak maju dengan tingkat belok (turn rate) kecil?",NULL,NULL,NULL,"11",NULL
"272","nahkoda","Ketika batang baja penguat dimuat di kontainer terbuka, klaim terhadap kapal kemungkinan besar muncul karena:",NULL,NULL,NULL,"11",NULL
"273","nahkoda","Apa yang menunjukkan awal terjadinya Parametric Rolling?",NULL,NULL,NULL,"11",NULL
"274","nahkoda","Apa perbedaan “Master’s night order” dengan “Master’s standing order” ?",NULL,NULL,NULL,"11",NULL
"275","nahkoda","Apa yang anda ketahui tentang “Master’s night order”?",NULL,NULL,NULL,"11",NULL
"276","nahkoda","Muatan bahan peledak yang dibawa dalam kontainer membutuhkan perlindungan maksimum terhadap:",NULL,NULL,NULL,"11",NULL
"277","nahkoda","Bagaimana cara mendapatkan nilai pendekatan dari Tinggi Metasentris transversal awal (GM) dari Kurva Stabilitas Statis (GZ curve)?",NULL,NULL,NULL,"11",NULL
"278","nahkoda","Bagaimana cara mendapatkan nilai pendekatan dari Tinggi Metasentris transversal awal (GM) dari Kurva Stabilitas Statis (GZ curve)?",NULL,NULL,NULL,"11",NULL
"279","nahkoda","(C/O) Jika twist lock ditemukan retak di bagian bawah, maka harus:",NULL,NULL,NULL,"11",NULL
"280","nahkoda","(C/O) Integritas tahan api dari setiap sekat (bulkhead) harus dipertahankan:",NULL,NULL,NULL,"11",NULL
"281","nahkoda","“Parametric Rollin” pada kapal kontainer menghasilkan:",NULL,NULL,NULL,"11",NULL
"282","nahkoda","Mengapa sangat penting bagi kapal kontainer untuk memiliki kapasitas ballast yang besar dan pompa ballast berkuatan tinggi?",NULL,NULL,NULL,"11",NULL
"283","nahkoda","Jika kapal Anda dilengkapi dengan kawat pada winch ""split drum"" yang dapat menyimpan sendiri, apa keuntungan dari winch tipe ini?",NULL,NULL,NULL,"11",NULL
"284","nahkoda","Tingkat pertama kontainer di bawah geladak, pada kapal kontainer non-seluler, biasanya dimuat:",NULL,NULL,NULL,"11",NULL
"285","nahkoda","Pernyataan mana yang salah terkait muatan IMDG Kelas 2?",NULL,NULL,NULL,"11",NULL
"286","nahkoda","Pengelasan dan pembakaran termasuk faktor yang memiliki risiko kebakaran tertinggi di kapal. Tindakan pencegahan harus diambil untuk menghindari risiko ini. Aturan keselamatan mana yang paling penting?",NULL,NULL,NULL,"11",NULL
"287","nahkoda","Pernyataan mana yang paling tepat menggambarkan kerusakan pada pelat lambung kapal?",NULL,NULL,NULL,"11",NULL
"288","nahkoda","Saat derrick atau crane kapal mengangkat beban dari dek, dari posisi manakah pusat gravitasi beban dianggap bekerja?",NULL,NULL,NULL,"11",NULL
"289","nahkoda","Untuk menghentikan tali tambat yang keluar, dimungkinkan untuk mengatur motor ke posisi ""heave"" serta mengaktifkan rem winch sepenuhnya. Apakah ini ide yang baik atau dapat menimbulkan masalah?",NULL,NULL,NULL,"11",NULL
"290","nahkoda","Untuk panduan dalam pengikatan kontainer di atas kapal, dokumen paling penting yang harus dirujuk adalah:",NULL,NULL,NULL,"11",NULL
"291","nahkoda","Ketika merencanakan pemuatan kontainer, petugas perencana harus merujuk pada:",NULL,NULL,NULL,"11",NULL
"292","nahkoda","Sebuah kontainer penuh besi tua sedang dimuat, dan Anda melihat air menetes dari kontainer tersebut. Apa yang harus Anda lakukan?",NULL,NULL,NULL,"11",NULL
"293","nahkoda","Bahaya yang terkait dengan pengangkutan kontainer tangki kosong adalah:",NULL,NULL,NULL,"11",NULL
"294","nahkoda","Salah satu kelompok barang berbahaya yang disorot oleh IMDG Code sebagai yang paling berbahaya untuk diangkut adalah:",NULL,NULL,NULL,"11",NULL
"295","nahkoda","Jika tangki kontainer berisi amonia cair terbakar, apa yang disarankan?",NULL,NULL,NULL,"11",NULL
"296","nahkoda","Kebakaran logam bekas dalam kontainer paling baik dipadamkan dengan cara:",NULL,NULL,NULL,"11",NULL
"297","nahkoda","Di kapal kontainer, flexitanks digunakan untuk:",NULL,NULL,NULL,"11",NULL
"298","nahkoda","Pengaruh-pengaruh oleh gerak kapal bila berlayar pada perairan dangkal, kecuali :",NULL,NULL,NULL,"11",NULL
"299","nahkoda","Apa yang dimaksud dengan istilah muatan Heavy Lift Cargo?",NULL,NULL,NULL,"11",NULL
"300","nahkoda","Langkah-langkah untuk mempersiapkan jangkar siap let-go ?",NULL,NULL,NULL,"11",NULL
"301","va_1","Saat pemeriksaan rutin, Anda menemukan bahwa rekan kerja sedang sangat sibuk dan belum sempat mencatat kerusakan kecil pada suatu alat keselamatan. Kerusakan tersebut memang tidak langsung menimbulkan bahaya, namun tentu melanggar aturan. Dari situasi tersebut apa yang akan Anda lakukan?","Integrity",NULL,NULL,"1","1"
"302","va_1","Rekan kerja Anda sering bermalas-malasan dan tidak mengerjakan tugasnya dengan baik. Hal ini membuat beban kerja Anda lebih berat dan bisa mempengaruhi kualitas pekerjaan keseluruhan. Bagaimana Anda menyikapi hal ini?","Customer Oriented",NULL,NULL,"1","2"
"303","va_1","Anda menemukan bahwa dengan sedikit perubahan pada metode atau cara perawatan suatu alat akan membuat pekerjaan bisa diselesaikan lebih cepat tanpa mengurangi kualitasnya. Namun hal ini belum pernah dilakukan sebelumnya, apa yang Anda lakukan?","Competitive",NULL,NULL,"1","3"
"304","va_1","Anda dan rekan kerja memiliki pendapat yang berbeda tentang cara menangani muatan atau pengelolaan engine kapal. Rekan Anda lebih senior dan bersikeras menggunakan caranya. Apa yang akan Anda lakukan dalam situasi tersebut?","Team Work",NULL,NULL,"1","4"
"305","va_1","Pelabuhan-pelabuhan besar mulai menggunakan sistem otomatis untuk bongkar muat yang memerlukan koordinasi digital. Bagaimana Anda menyikapi perubahan ini?","Visioner",NULL,NULL,"1","5"
"306","va_1","Atasan atau crew lain mengkritik cara kerja Anda di depan banyak crew lainnya dengan nada yang cukup keras. Anda merasa cara kerja Anda sudah benar, tapi mungkin memang masih ada yang bisa diperbaiki. Dalam situasi tersebut apa yang Anda lakukan?","Integrity",NULL,NULL,"1","1"
"307","va_1","Setelah menyelesaikan penataan kontainer di dek dalam kondisi kerja yang cukup melelahkan, Anda tiba-tiba mendapat perintah bahwa ada tambahan 3 kontainer yang harus segera dimuat karena permintaan mendesak dari pelanggan. Waktu crew hanya tersisa 1 jam (One Hour Notice) untuk bersiap. Apa yang akan Anda lakukan?","Customer Oriented",NULL,NULL,"1","2"
"308","va_1","Anda menemukan cara mengoptimalkan konsumsi bahan bakar dengan mengatur beberapa hal, tapi untuk melakukan ini butuh pemantauan harian yang cukup intensif. Apa yang akan Anda lakukan dalam situasi tersebut?","Competitive",NULL,NULL,"1","3"
"309","va_1","Crew baru dalam tim Anda sangat rajin dan inisiatif, tetapi sering mengambil keputusan sendiri tanpa melakukan koordinasi, hal tersebut terkadang mengganggu alur kerja yang telah disepakati. Bagaimana Anda merespon situasi ini?","Team Work",NULL,NULL,"1","4"
"310","va_1","Anda mendengar bahwa cuaca ekstrem bisa makin sering terjadi di jalur pelayaran dalam beberapa waktu ke depan. Untuk saat ini memang cuaca masih normal. tapi bagaimana Anda menyikapi informasi ini?","Visioner",NULL,NULL,"1","5"
"311","va_1","Demi mempermudah administrasi, Anda menemukan data konsumsi bahan bakar dilaporkan sedikit berbeda dari pemakaian sebenarnya. Selisihnya kecil dan dianggap tidak akan menimbulkan masalah. Apa yang akan Anda lakukan?","Integrity",NULL,NULL,"1","1"
"312","va_1","Tim kerja Anda terlihat lebih lambat dari biasanya karena kondisi lingkungan yang panas dan lembab. Hal ini akan membuat waktu pengerjaan lebih panjang, walaupun keselamatan kerja tetap terjaga. Apa yang akan Anda lakukan?","Customer Oriented",NULL,NULL,"1","2"
"313","va_1","Crew junior mengusulkan ide untuk meningkatkan efisiensi berdasarkan dari pengalaman di kapal sebelumnya. Idenya masuk akal namun belum pernah dicoba dan belum teruji di kapal saat ini. Bagaimana respon Anda?","Competitive",NULL,NULL,"1","3"
"314","va_1","Dua crew terlihat bersitegang saat sedang melakukan suatu pekerjaan. Salah satunya tampak marah dan bicara dengan nada tinggi, situasi ini akan dapat memicu kekerasan fisik nantinya. Apa yang akan Anda lakukan dalam situasi tersebut?","Team Work",NULL,NULL,"1","4"
"315","va_1","Rencananya dalam beberapa bulan kapal akan kedatangan beberapa crew baru yang memiliki latar belakang pengalaman berlayar internasional. Tentunya mereka bisa membawa perspektif dan cara kerja yang berbeda dari kebiasaan di kapal Anda saat ini. Apa yang akan Anda lakukan dalam situasi ini?","Visioner",NULL,NULL,"1","5"
"316","va_1","Crew senior meminta Anda tidak melaporkan insiden kecil yang tidak menyebabkan injury karena nantinya akan mempersulit administrasi dan memang tidak ada yang terluka. Apa tindakan Anda pada situasi tersebut?","Integrity",NULL,NULL,"1","1"
"317","va_1","Pihak Nautika menyampaikan keluhan dari pelanggan bahwa kualitas hasil kerja terlihat kurang memuaskan dan kurang rapi, meskipun sebenarnya masih sesuai dengan standar kontrak yang ada. Apa yang akan Anda lakukan dalam situasi tersebut?","Customer Oriented",NULL,NULL,"1","2"
"318","va_1","Anda menemukan jadwal kerja baru yang lebih efisien dan memungkinkan kru beristirahat lebih baik, tanpa mengurangi kualitas kerja. Namun, sebagian kru merasa keberatan karena sudah terbiasa dengan jadwal lama. Bagaimana Anda menyikapi hal ini?","Competitive",NULL,NULL,"1","3"
"319","va_1","Tim Anda terdiri dari crew dengan pengalaman berbeda-beda. Saat melakukan briefing terkait keselamatan kerja, salah satu crew junior sering bertanya pertanyaan-pertanyaan mendasar. Salah satu crew senior mulai terlihat tidak sabar menanggapi pertanyaan crew tersebut. Dalam situasi ini apa yang akan Anda lakukan?","Team Work",NULL,NULL,"1","4"
"320","va_1","Anda mengetahui bahwa regulasi maritim internasional akan mengalami beberapa perubahan dalam 2-3 tahun ke depan, yang mungkin akan memengaruhi cara kerja di kapal. Saat ini, memang belum ada dampak langsung pada operasional harian. Dalam situasi ini apa yang Anda lakukan?","Visioner",NULL,NULL,"1","5"
"321","va_1","Beberapa crew berencana membawa beberapa inventori yang sudah tidak terpakai untuk dijual di pelabuhan berikutnya, mereka mengajak Anda untuk bergabung. Apa yang akan Anda lakukan?","Integrity",NULL,NULL,"1","1"
"322","va_1","Jadwal pengiriman mundur beberapa jam karena mengalami kendala teknis, sebenarnya masih dalam batas normal. Namun, pihak terminal mengungkapkan bahwa mereka memiliki jadwal yang cukup ketat, bagaimana respon Anda?","Customer Oriented",NULL,NULL,"1","2"
"323","va_1","Anda menyadari bahwa beberapa pekerjaan perawatan bisa digabung agar lebih efisien dan menghemat waktu. Namun, jika digabung, perlu koordinasi tambahan antar bagian, dan ada risiko pekerjaan jadi lebih rumit. Apa yang akan Anda lakukan?","Competitive",NULL,NULL,"1","3"
"324","va_1","Saat rapat, ada satu crew yang sangat vokal dan mendominasi diskusi. Sementara itu, beberapa crew lain justru terlihat diam dan tampak terintimidasi. Hal ini membuat ide-ide penting dari anggota lain bisa tidak tersampaikan. Apa yang akan Anda lakukan?","Team Work",NULL,NULL,"1","4"
"325","va_1","Beban kerja tim crew Anda saat ini sudah terdistribusi dengan baik dan semua pekerjaan dapat diselesaikan sesuai target. Namun, Anda mendengar bahwa akan ada rencana penambahan rute pelayaran yang akan meningkatkan intensitas operasional. Dalam situasi ini apa yang akan Anda lakukan?","Visioner",NULL,NULL,"1","5"
"326","va_1","Dalam suatu rapat, Anda diminta untuk berpendapat terkait cara memperbaiki koordinasi antar departemen. Anda memiliki ide, namun takut ide tersebut menyinggung senior Anda. Apa yang Anda lakukan?","Integrity",NULL,NULL,"1","1"
"327","va_1","Antrean panjang di terminal menyebabkan waktu tunggu menjadi lama. Sebenarnya, hal ini normal di terminal tersebut tapi tentunya pihak Nautica tidak mau tahu akan kondisi ini. Bagaimana Anda menangani situasi ini?","Customer Oriented",NULL,NULL,"1","2"
"328","va_1","Atasan Anda memberikan feedback terkait metode kerja Anda bahwa metode yang Anda lakukan saat ini terlalu lama, dan Anda diminta untuk lebih efisien. Dari masukan tersebut apa yang akan Anda lakukan?","Competitive",NULL,NULL,"1","3"
"329","va_1","Seorang crew sering berbicara kasar ke junior dan beberapa crew lainnya. Beberapa crew lain mulai merasa risih dan enggan bekerja sama dengannya. Dalam situasi tersebut apa yang akan Anda lakukan?","Team Work",NULL,NULL,"1","4"
"330","va_1","Program training dan development crew di kapal sudah berjalan sesuai jadwal mandatory yang ditetapkan tim SPM. Namun, Anda melihat ada beberapa skill yang mungkin akan semakin penting di masa depan tapi belum masuk dalam program training saat ini. Apa yang akan Anda lakukan dalam situasi tersebut?","Visioner",NULL,NULL,"1","5"
"331","va_1","Dalam suatu obrolan santai, seorang crew bercerita bahwa dia sering merapikan catatan operasional di log book agar terlihat lebih rapi dan memudahkan pemeriksaan. Dia bilang hal ini biasa dan sudah dilakukan sejak lama, dari situasi ini bagaimana sikap Anda?","Integrity",NULL,NULL,"1","1"
"332","va_1","Tim menemukan bahwa pengaturan barang di kapal saat ini masih bisa dioptimalkan, walaupun saat ini sudah sesuai dengan standar keselamatan. Kondisi ini bisa mempengaruhi efisiensi dan kelancaran proses bongkar muat selanjutnya. Apa yang akan Anda lakukan?","Customer Oriented",NULL,NULL,"1","2"
"333","va_1","Tim SPM (Ship Personnel Management) memberikan materi pelatihan baru tentang optimalisasi kerja. Untuk saat ini Anda belum sepenuhnya memahami isi pelatihan tersebut. Apa yang akan Anda lakukan?","Competitive",NULL,NULL,"1","3"
"334","va_1","Crew yang menjadi rekan kerja Anda sering kali membuat kesalahan yang berpotensi menghambat kinerja lainnya. Anda mulai kesal akan hal tersebut, tetapi pekerjaan tetap harus selesai, bagaimana sikap Anda dalam situasi tersebut?","Team Work",NULL,NULL,"1","4"
"335","va_1","Performa tim Anda dalam menyelesaikan tugas sudah konsisten dan memenuhi target yang ditetapkan. Namun, Anda melihat ada peluang untuk meningkatkan kualitas hasil kerja melalui penyempurnaan metode atau cara yang digunakan. Apa yang akan Anda lakukan?","Visioner",NULL,NULL,"1","5"
"336","va_1","Saat proses bongkar muat di pelabuhan, Anda melihat beberapa crew melakukan cara yang lebih cepat, hal tersebut sedikit menyimpang dari prosedur standar. Namun, mereka bilang bahwa hal ini sudah biasa dan aman serta selesai lebih cepat. Pada situasi tersebut bagaimana Anda akan bersikap?","Integrity",NULL,NULL,"1","1"
"337","va_1","Anda menemukan muatan yang harusnya kering dan bersih ternyata sedikit lembab dan ada kotoran, karena crew kurang teliti saat persiapan. Apa yang akan Anda lakukan?","Customer Oriented",NULL,NULL,"1","2"
"338","va_1","Anda mendengar bahwa crew sering terburu-buru saat menangani muatan, sehingga memicu timbulnya kotoran atau lembab yang seharusnya bisa dihindari. Apabila dibiarkan tentunya akan berdampak pada kualitas muatan, dari situasi tersebut apa yang akan Anda lakukan?","Competitive",NULL,NULL,"1","3"
"339","va_1","Dalam suasana kerja yang padat, Anda merasa hampir kehilangan kesabaran karena rekan kerja sering melakukan kesalahan meski sudah diingatkan. Dalam situasi ini apa yang akan Anda lakukan?","Team Work",NULL,NULL,"1","4"
"340","va_1","Tim Anda sudah bekerja dengan baik dalam menangani tugas-tugas rutin. Namun, Anda mengetahui bahwa beberapa komponen atau sistem penting akan mulai memasuki masa kritis dalam 1-2 tahun ke depan. Apa langkah yang Anda ambil?","Visioner",NULL,NULL,"1","5"
"341","va_2","1",NULL,NULL,NULL,"2","6"
"342","va_2","2",NULL,NULL,NULL,"2","6"
"343","va_2","3",NULL,NULL,NULL,"2","6"
"344","va_2","4",NULL,NULL,NULL,"2","6"
"345","va_2","5",NULL,NULL,NULL,"2","6"
"346","va_2","6",NULL,NULL,NULL,"2","6"
"347","va_2","7",NULL,NULL,NULL,"2","6"
"348","va_2","8",NULL,NULL,NULL,"2","6"
"349","va_2","9",NULL,NULL,NULL,"2","6"
"350","va_2","10",NULL,NULL,NULL,"2","6"
"351","va_2","11",NULL,NULL,NULL,"2","6"
"352","va_2","12",NULL,NULL,NULL,"2","6"
"353","va_2","13",NULL,NULL,NULL,"2","6"
"354","va_2","14",NULL,NULL,NULL,"2","6"
"355","va_2","15",NULL,NULL,NULL,"2","6"
"356","va_2","16",NULL,NULL,NULL,"2","6"
"357","va_2","17",NULL,NULL,NULL,"2","6"
