question_id,question_text,option_letter,option_text,score
"17,17,a,""Saya cenderung bertindak cepat meski belum terpikirkan semua risikonya."",0"
"17,17,b,""Saya lebih memilih menunda daripada terjadi risiko yang merugikan."",0"
"18,18,a,""Dalam kondisi terdesak, saya akan mempertimbangkan menggunakan dana perusahaan terlebih dahulu dengan rencana segera melaporkan dan menggantinya."",0"
"18,18,b,""Dana perusahaan tidak seharusnya digunakan untuk keperluan pribadi, meskipun dalam situasi mendesak."",0"
"19,19,a,""Saya percaya standar moral seseorang tidak didasarkan dengan tingkat penghasilan individu."",0"
"19,19,b,""Saya memahami bahwa tekanan ekonomi dapat mempengaruhi pilihan moral seseorang."",0"
"20,20,a,""Saya lebih nyaman bekerja tanpa perlu banyak pengawasan sehingga saya lebih bebas mengambil keputusan sendiri."",0"
"20,20,b,""Saya merasa lebih tenang bekerja dengan pengawasan serta arahan yang jelas."",0"
"21,21,a,""Saya menyampaikan pendapat meski tahu bisa berbeda dari kebanyakan orang."",0"
"21,21,b,""Saya kadang menyesuaikan diri dengan kelompok agar tetap dianggap bagian dari mereka."",0"
"22,22,a,""Saya cenderung berhati-hati dan menilai ulang sebelum menyimpulkan situasi itu aman."",0"
"22,22,b,""Saya sering mengandalkan penilaian pribadi untuk menilai apakah suatu situasi aman atau tidak."",0"
"23,23,a,""Dalam situasi tertentu, saya cenderung langsung mengambil keputusan meskipun belum semua hal saya pertimbangkan."",0"
"23,23,b,""Saya cenderung menyiapkan rencana dengan jelas sebelum mengambil langkah."",0"
"24,24,a,""Saya lebih memilih memberi ruang kepada rekan untuk memperbaiki kesalahannya sebelum dilaporkan secara formal."",0"
"24,24,b,""Saya cenderung melaporkan pelanggaran jika sudah cukup jelas dan berdampak pada pekerjaan."",0"
"25,25,a,""Saya mempertimbangkan dampak moral dan manfaat saat membuat keputusan finansial."",0"
"25,25,b,""Saya cenderung mempertimbangkan untung-rugi dalam setiap keputusan finansial."",0"
"26,26,a,""Saya tetap mengikuti sistem yang ada meskipun terasa kurang praktis."",0"
"26,26,b,""Saat sistem atau aturan kerja tidak terlalu ketat, saya menyesuaikan cara kerja agar lebih fleksibel dan leluasa."",0"
"27,27,a,""Saya tetap berusaha menjalankan prosedur resmi, meskipun itu bisa memperlambat penyelesaian pekerjaan."",0"
"27,27,b,""Saya cenderung mengandalkan cara kerja tim yang sudah terbukti efektif, meskipun terkadang cara itu tidak sepenuhnya sesuai prosedur resmi."",0"
"28,28,a,""Saya lebih memilih menjaga kestabilan meskipun harus melewatkan peluang yang ada."",0"
"28,28,b,""Saya bisa mempertimbangkan risiko jika peluang yang terlihat cukup menjanjikan."",0"
"29,29,a,""Saya berusaha mempertimbangkan risiko sebelum bertindak, meskipun kadang membuat keputusan jadi lebih lambat."",0"
"29,29,b,""Saya lebih memilih bertindak langsung jika saya yakin solusinya masuk akal, walaupun belum sempat menimbang semua risiko."",0"
"30,30,a,""Saya percaya aturan perusahaan bisa disesuaikan dalam situasi tertentu, selama tidak mengganggu tujuan utama pekerjaan."",0"
"30,30,b,""Menurut saya, aturan yang sudah ditetapkan sebaiknya dijalankan secara konsisten, meskipun kadang terasa kurang sesuai dengan kondisi lapangan."",0"
"31,31,a,""Saya tetap berpegang pada cara-cara yang sesuai aturan, walaupun prosesnya sering kali lebih panjang."",0"
"31,31,b,""Saya bersedia mencoba pendekatan yang tidak biasa atau di luar prosedur resmi jika itu lebih cepat membantu menyelesaikan masalah."",0"
"32,32,a,""Saya cenderung mengikuti keputusan kelompok agar tidak dianggap pembangkang."",0"
"32,32,b,""Saya membuat keputusan berdasarkan penilaian pribadi walau berbeda dengan rekan kerja"",0"
"33,33,a,""Saya cenderung mengikuti keputusan kelompok agar tidak dianggap pembangkang."",0"
"33,33,b,""Saya membuat keputusan berdasarkan penilaian pribadi walau berbeda dengan rekan kerja"",0"
"34,34,a,""Saya cenderung fokus pada potensi risiko dalam suatu situasi."",0"
"34,34,b,""Saya cenderung fokus pada peluang keuntungan dalam suatu situasi."",0"
"35,35,a,""Saya lebih nyaman dengan solusi bertahap meski butuh waktu dan proses."",0"
"35,35,b,""Saya kadang lebih memilih langkah cepat daripada menunggu solusi yang lebih ideal."",0"
"36,36,a,""Wajar jika sesekali menggunakan fasilitas di tempat kerja untuk keperluan pribadi yang tidak mengganggu pekerjaan."",0"
"36,36,b,""Fasilitas di tempat kerja sebaiknya hanya digunakan untuk keperluan pekerjaan selama jam kerja."",0"
"37,37,a,""Saya percaya individu harus menjaga prinsip moral meski kadang situasinya tidak mudah."",0"
"37,37,b,""Saya mengerti jika kadang kebutuhan hidup membuat orang memilih jalan yang berbeda atau tidak seharusnya."",0"
"38,38,a,""Saya menyesuaikan pendekatan kerja agar tetap efisien, meskipun tidak selalu mengikuti prosedur secara ketat."",0"
"38,38,b,""Saya tetap berusaha menjaga kesesuaian dengan aturan, meskipun itu membuat proses kerja jadi lebih lama atau rumit."",0"
"39,39,a,""Saya cenderung menolak pengaruh yang saya anggap tidak sesuai dengan nilai pribadi."",0"
"39,39,b,""Saya cenderung dapat terbawa arus lingkungan kerja meski awalnya ragu terhadap praktiknya."",0"
"40,40,a,""Saya mengandalkan intuisi dalam menilai apakah suatu tindakan aman dilakukan."",0"
"40,40,b,""Saya lebih memilih menggunakan data atau prosedur yang pasti dalam menilai suatu risiko."",0"
"41,41,a,""Dalam beberapa situasi, saya lebih mengandalkan insting daripada terlalu banyak pertimbangan"",0"
"41,41,b,""Saya biasanya mempertimbangkan dulu dampak dari setiap keputusan yang penting."",0"
"42,42,a,""Menyampaikan informasi dengan mempertimbangkan situasi dan dampaknya sering kali lebih efektif dalam menjaga harmoni dalam lingkungan kerja."",0"
"42,42,b,""Bersikap terbuka dan transparan dalam menyampaikan informasi dapat membangun kepercayaan di lingkungan kerja."",0"
"43,43,a,""Saya lebih memilih tetap mengikuti prosedur resmi, meskipun prosesnya lebih lama dan memerlukan dana lebih."",0"
"43,43,b,""Saya lebih memilih pendekatan yang lebih hemat dan efisien secara biaya, meskipun tidak sepenuhnya mengikuti prosedur."",0"
"44,44,a,""Saya menyimpan sisa barang yang masih layak pakai untuk digunakan lagi nanti."",0"
"44,44,b,""Saya kembalikan sisa barang ke tempat penyimpanan sesuai aturan."",0"
"45,45,a,""Saya tetap mendukung keputusan kelompok walau merasa ada yang tidak sesuai demi menjaga kekompakan kelompok."",0"
"45,45,b,""Saya menyampaikan dan mempertanyakan keputusan kelompok jika terlihat ada yang tidak sesuai dengan aturan."",0"
"46,46,a,""Saya tetap berpegang pada aturan, meskipun dalam kondisi yang terasa tidak mendukung."",0"
"46,46,b,""Saya kadang menyesuaikan aturan jika merasa situasinya tidak memungkinkan mengikuti prosedur secara penuh."",0"
"47,47,a,""Saya lebih suka segera mengambil tindakan saat merasa ada peluang, sebelum terlambat."",0"
"47,47,b,""Saya biasanya menunda dulu dan mempertimbangkan suatu hal, meskipun risiko kehilangan peluang atau kesempatan."",0"
"48,48,a,""Kejujuran adalah prinsip yang tidak boleh dikompromikan dalam situasi apa pun di tempat kerja."",0"
"48,48,b,""Terkadang tidak menyampaikan seluruh kebenaran diperlukan untuk melindungi tim atau menghindari konflik yang tidak perlu."",0"
"49,49,a,""Saya berorientasi pada hasil akhir dalam memenuhi kebutuhan finansial."",0"
"49,49,b,""Saya berorientasi pada proses yang saya tempuh dalam memenuhi kebutuhan finansial."",0"
"50,50,a,""Saya lebih memilih menunggu instruksi resmi untuk memastikan tindakan saya nantinya tidak keliru."",0"
"50,50,b,""Saya cenderung bertindak dulu untuk menyelesaikan masalah secepatnya, lalu akan menjelaskannya di akhir jika perlu."",0"
"51,51,a,""Demi menjaga solidaritas dalam situasi sulit saya tetap berusaha berpihak pada rekan kerja walaupun terdapat hal yang saya ragukan."",0"
"51,51,b,""Saya lebih memilih menjaga prinsip yang saya pegang meskipun membuat hubungan dengan rekan kerja menjadi renggang dan tidak nyaman."",0"
"52,52,a,""Saya cenderung menunggu penjelasan jika aturan dan prosedur belum pasti."",0"
"52,52,b,""Saya tetap melanjutkan pekerjaan meskipun aturan atau prosedur belum sepenuhnya jelas."",0"
"53,53,a,""Saya memilih untuk segera mengambil tindakan agar peluang tidak terlewat, selama tidak merugikan pihak lain."",0"
"53,53,b,""Saya lebih nyaman menunggu arahan atau kepastian terlebih dahulu, meskipun itu berarti peluang bisa terlewat."",0"
"54,54,a,""Saya rasa sesekali terpikir untuk mengambil barang di tempat kerja itu wajar, selama tidak benar-benar dilakukan."",0"
"54,54,b,""Penting untuk selalu menjaga pikiran dan niat tetap positif terhadap properti perusahaan."",0"
"55,55,a,""Saya bisa memahami jika seseorang merasa berhak mengambil lebih karena merasa sistem kompensasi tidak adil."",0"
"55,55,b,""Saya akan menyampaikan pada pihak terkait apabila terdapat sistem kompensasi yang tidak adil."",0"
"56,56,a,""Saya cenderung menunggu arahan atau memastikan prosedur yang tepat meskipun bisa memperlambat penyelesaian masalah."",0"
"56,56,b,""Saya biasanya mengambil langkah dulu yang menurut saya paling efektif dan akan menyampaikan laporan bila memang perlu."",0"
"57,57,a,""Saya cenderung mengikuti kebiasaan kerja yang sudah diterima kelompok meskipun meragukan keabsahannya."",0"
"57,57,b,""Saya berhati-hati dan memilih tidak terlibat dalam praktik kerja yang melanggar aturan meski berakhir dikucilkan kelompok."",0"
"58,58,a,""Saya percaya suatu aturan harus tetap diikuti meskipun dalam kondisi yang tidak menguntungkan."",0"
"58,58,b,""Menurut saya dalam situasi tertentu wajar jika orang menyesuaikan atau melonggarkan aturan selama tidak merugikan orang lain secara langsung."",0"
"59,59,a,""Saya lebih nyaman menimbang terlebih dahulu akan dampak jangka panjang meskipun akhirnya membuat proses pengambilan keputusan menjadi lebih lama."",0"
"59,59,b,""Saya kadang bertindak berdasarkan dorongan situasi tanpa banyak pertimbangan ke depan."",0"
"60,60,a,""Saya biasanya memilih tidak terlibat dalam urusan rekan kerja lain, kecuali jika hal tersebut benar-benar berdampak langsung pada pekerjaan atau diri saya."",0"
"60,60,b,""Jika melihat sesuatu yang kurang sesuai, saya cenderung akan menyampaikan langsung agar tidak menimbulkan permasalahan di kemudian hari."",0"
